,Radiation,Temperature,Pressure,Humidity,WindDirection,WindSpeed,Month,Day,Hour,Daylight
21765,-0.707081525057872,1.1473482122186105,0.31357014042207443,-0.11175060458905665,-1.0848319220721288,0.1284802448488196,0.4408821325638033,-0.5694238835707857,0.6700939332149868,0.5235792025274264
14413,-0.6937270581043008,0.3195322818030306,0.31357014042207443,0.701073045965633,-1.1933338407256322,-0.49268740390768134,-0.3869918237711159,-1.0275046224099533,-0.22576257457562948,1.1024956537553825
11062,-1.169438864148405,-0.6738468346956653,0.4974866693584154,1.0107201509388481,0.4403544366424019,-0.1834839520822231,-0.3869918237711159,0.34673759410754984,-1.420237918296451,-1.0702703749687865
15567,-0.2707758530445517,-0.17715727644631732,0.8653197272311626,0.6623671578439811,0.3490991111722502,0.43768369667427787,-0.3869918237711159,-1.485585361249121,-1.1216190823662457,-0.16472395840574042
23791,1.4185791544647068,1.3129113983017264,-0.05426291745067276,-1.2342213601169614,-0.28153867803217375,-0.49268740390768134,0.4408821325638033,-1.485585361249121,0.37147509728478134,1.1351319067834016
11620,0.5352125350392171,1.3129113983017264,1.0492362561675688,-2.2792803394015624,-0.19663237312951962,0.43768369667427787,-0.3869918237711159,0.11769722468796597,-1.1216190823662457,-0.2206976746793414
20319,0.798447900426054,0.3195322818030306,0.31357014042207443,0.27530827662746227,0.28305034497007386,1.0588513454307786,0.4408821325638033,0.0031770399781740353,0.6700939332149868,0.21036801697690402
701,-0.5043445837895626,0.8162218400523786,-0.6060125042598262,0.27530827662746227,-1.138845977646362,0.7496478936053206,-1.2148657801060352,1.2628990717858852,0.07285626135457593,1.485123308780693
17463,1.198125884553293,-1.0049732068618973,0.4974866693584154,0.6236612697223293,-0.25576354975815374,0.7496478936053206,0.4408821325638033,1.0338587023663015,0.37147509728478134,1.2108127168374718
19469,1.3898087927727851,1.1473482122186105,-0.23817944638707902,-1.8148096819417399,-0.9124607517396198,-0.49268740390768134,0.4408821325638033,0.2322174093977579,0.37147509728478134,0.8863727175963866
16371,-0.8465415960629513,-1.6672259511943612,0.12965361148566817,1.0107201509388481,-0.19502142761239336,-0.804651600838724,0.4408821325638033,1.4919394412054692,-1.1216190823662457,-0.8909551249644542
13848,1.568047606743716,1.6440377704679585,0.31357014042207443,-0.6536330382921831,-0.7052173490363779,0.7496478936053206,-0.3869918237711159,-0.7984642529903695,-0.22576257457562948,1.1045371941272335
5885,1.787007088405289,0.8162218400523786,-0.4220959753234853,0.0430729478975509,-0.6306400477435333,-0.1834839520822231,-1.2148657801060352,-1.1420248071197452,0.37147509728478134,1.0467773707256882
